uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
MG;PATOS DE MINAS;sábado;Pleno dia;Pista Escorregadia;Saída de leito carroçável;Chuva;Simples;Curva;Não
PR;SANTO ANTONIO DA PLATINA;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão transversal;Céu Claro;Simples;Reta;Não
MG;FRANCISCO SA;sábado;Pleno dia;Chuva;Colisão lateral sentido oposto;Chuva;Simples;"Curva;Declive";Não
MT;JACIARA;sábado;Pleno dia;Demais falhas mecânicas ou elétricas;Engavetamento;Nublado;Dupla;"Declive;Reta";Não
SP;BARRA DO TURVO;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Curva;Não
BA;ITATIM;sábado;Pleno dia;Manobra de mudança de faixa;Colisão lateral sentido oposto;Sol;Simples;Reta;Não
TO;PALMAS;sábado;Pleno dia;Acumulo de água sobre o pavimento;Queda de ocupante de veículo;Chuva;Dupla;Reta;Não
BA;PLANALTO;sábado;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Não
SP;NOVA GRANADA;sábado;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Nublado;Simples;"Reta;Aclive";Não
RS;NOVA SANTA RITA;sábado;Pleno dia;Ausência de reação do condutor;Colisão transversal;Céu Claro;Dupla;"Interseção de Vias;Rotatória";Sim
RJ;MAGE;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Dupla;Reta;Não
MG;ITAMBACURI;sábado;Pleno dia;Transitar no Acostamento;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
PB;CAMPINA GRANDE;sábado;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Sol;Simples;Reta;Não
PB;LAGOA SECA;sábado;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;"Reta;Aclive";Não
BA;LAMARAO;sábado;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Aclive;Reta";Não
MG;PARA DE MINAS;sábado;Plena Noite;Pedestre - Ingestão de álcool/ substâncias psicoativas;Atropelamento de Pedestre;Nublado;Dupla;Reta;Sim
MG;ORIZANIA;sábado;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
PE;CABROBO;sábado;Plena Noite;Transitar na contramão;Colisão frontal;Nublado;Simples;Reta;Não
PR;CANTAGALO;sábado;Plena Noite;Ingestão de álcool pelo condutor;Colisão frontal;Céu Claro;Simples;Reta;Não
SP;LORENA;sábado;Plena Noite;Ausência de reação do condutor;Capotamento;Nublado;Dupla;Reta;Sim
MG;UBERABA;domingo;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Aclive;Reta";Não
BA;FEIRA DE SANTANA;sábado;Plena Noite;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Dupla;Curva;Sim
RJ;PIRAI;domingo;Pleno dia;Ausência de reação do condutor;Colisão transversal;Nublado;Dupla;"Curva;Declive";Não
RO;PRESIDENTE MEDICI;domingo;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Ignorado;Simples;"Reta;Interseção de Vias";Não
RS;TRIUNFO;domingo;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não
CE;FORQUILHA;domingo;Pleno dia;Afundamento ou ondulação no pavimento;Queda de ocupante de veículo;Nublado;Simples;Reta;Não
MG;ALEM PARAIBA;domingo;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
RS;JAGUARI;domingo;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Simples;"Declive;Curva;Interseção de Vias";Sim
BA;IBIRAPITANGA;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
MT;COMODORO;domingo;Pleno dia;Acumulo de água sobre o pavimento;Colisão frontal;Chuva;Simples;"Reta;Declive";Não
MG;EUGENOPOLIS;domingo;Pleno dia;Velocidade Incompatível;Tombamento;Nublado;Simples;"Curva;Declive";Não
