uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
RS;RIO GRANDE;domingo;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Curva;Sim
PB;CUITE;domingo;Pleno dia;Ingestão de álcool pelo condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
GO;GOIANIA;domingo;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Céu Claro;Dupla;Reta;Sim
CE;CHOROZINHO;domingo;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Rotatória;Interseção de Vias";Sim
PR;GUARAPUAVA;domingo;Pleno dia;Demais falhas na via;Colisão com objeto;Céu Claro;Dupla;Reta;Sim
ES;DOMINGOS MARTINS;domingo;Pleno dia;Chuva;Tombamento;Chuva;Simples;Reta;Não
PB;CABEDELO;domingo;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Múltipla;"Interseção de Vias;Reta";Sim
AL;MURICI;domingo;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;Reta;Não
MG;CONGONHAS;domingo;Pleno dia;Conversão proibida;Colisão transversal;Nublado;Simples;"Reta;Aclive";Não
ES;LINHARES;domingo;Pleno dia;Manobra de mudança de faixa;Queda de ocupante de veículo;Nublado;Múltipla;Reta;Sim
MG;SENADOR JOSE BENTO;domingo;Pleno dia;Curva acentuada;Saída de leito carroçável;Céu Claro;Simples;"Declive;Curva";Não
GO;PROFESSOR JAMIL;domingo;Pleno dia;Falta de elemento de contenção que evite a saída do leito carroçável;Saída de leito carroçável;Nublado;Dupla;Declive;Não
PB;JOAO PESSOA;domingo;Pleno dia;Manobra de mudança de faixa;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Sim
RJ;PARATY;domingo;Anoitecer;Velocidade Incompatível;Colisão com objeto;Chuva;Simples;Curva;Não
MG;UBERLANDIA;domingo;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Chuva;Dupla;"Declive;Reta";Não
PR;BARRACAO;domingo;Amanhecer;Ingestão de álcool pelo condutor;Saída de leito carroçável;Nublado;Simples;Reta;Não
MG;MONTE ALEGRE DE MINAS;domingo;Pleno dia;Velocidade Incompatível;Colisão com objeto;Céu Claro;Dupla;Rotatória;Não
SP;SAO JOSE DO RIO PRETO;domingo;Anoitecer;Frear bruscamente;Tombamento;Nublado;Dupla;Interseção de Vias;Não
RJ;PETROPOLIS;domingo;Plena Noite;Chuva;Saída de leito carroçável;Chuva;Dupla;Curva;Não
ES;IBIRACU;domingo;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Simples;Reta;Não
PR;FAZENDA RIO GRANDE;sábado;Anoitecer;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Dupla;Reta;Sim
PI;TERESINA;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
RO;PORTO VELHO;domingo;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Céu Claro;Dupla;"Aclive;Reta";Não
MG;ITATIAIUCU;domingo;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Dupla;"Aclive;Reta";Não
PR;FOZ DO IGUACU;domingo;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Dupla;"Reta;Retorno Regulamentado";Não
TO;MIRANORTE;domingo;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Garoa/Chuvisco;Simples;"Aclive;Reta";Não
SC;CAMBORIU;domingo;Anoitecer;Ingestão de álcool pelo condutor;Engavetamento;Nublado;Dupla;Reta;Não
MA;CAXIAS;domingo;Pleno dia;Manobra de mudança de faixa;Colisão frontal;Céu Claro;Simples;Reta;Não
ES;SAO MATEUS;domingo;Anoitecer;Ausência de reação do condutor;Eventos atípicos;Céu Claro;Dupla;Reta;Não
SP;SAO JOSE DO RIO PRETO;domingo;Plena Noite;Ingestão de álcool pelo condutor;Saída de leito carroçável;Céu Claro;Dupla;"Reta;Aclive";Sim
RJ;DUQUE DE CAXIAS;domingo;Anoitecer;Velocidade Incompatível;Colisão lateral mesmo sentido;Chuva;Dupla;"Declive;Curva";Não
RS;ELDORADO DO SUL;domingo;Plena Noite;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Sim
MT;PRIMAVERA DO LESTE;domingo;Pleno dia;Ingestão de álcool pelo condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
SC;BOM RETIRO;domingo;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Sol;Simples;Curva;Não
RJ;ANGRA DOS REIS;domingo;Plena Noite;Demais falhas mecânicas ou elétricas;Incêndio;Chuva;Simples;Reta;Sim
RO;PORTO VELHO;domingo;Plena Noite;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Dupla;Interseção de Vias;Sim
SC;JOINVILLE;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Nublado;Dupla;Reta;Sim
SC;ITAPEMA;domingo;Plena Noite;Condutor usando celular;Colisão traseira;Nublado;Simples;Reta;Sim
MG;PLANURA;domingo;Anoitecer;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
PE;CARUARU;domingo;Plena Noite;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Nublado;Dupla;Reta;Não
MS;AQUIDAUANA;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;"Interseção de Vias;Reta;Aclive";Não
BA;JUAZEIRO;domingo;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão frontal;Céu Claro;Simples;"Interseção de Vias;Reta";Não
SC;ITAJAI;domingo;Plena Noite;Ausência de reação do condutor;Colisão traseira;Nublado;Dupla;Reta;Sim
PR;LONDRINA;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
GO;ALEXANIA;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não
GO;ITUMBIARA;domingo;Plena Noite;Deficiência do Sistema de Iluminação/Sinalização;Colisão lateral mesmo sentido;Céu Claro;Simples;Declive;Não
PR;GUARAPUAVA;domingo;Plena Noite;Demais falhas na via;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
SC;SAO JOSE;domingo;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Queda de ocupante de veículo;Céu Claro;Múltipla;Reta;Sim
MT;MIRASSOL DOESTE;domingo;Anoitecer;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Ignorado;Simples;Interseção de Vias;Não
RS;BENTO GONCALVES;domingo;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Dupla;Rotatória;Sim
BA;EUNAPOLIS;domingo;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Reta;Não
PR;FERNANDES PINHEIRO;domingo;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
BA;CONCEICAO DA FEIRA;domingo;Anoitecer;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
PE;GRAVATA;domingo;Plena Noite;Ingestão de álcool pelo condutor;Colisão com objeto;Céu Claro;Dupla;Reta;Não
PE;OROCO;domingo;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;Reta;Não
RS;CARAZINHO;domingo;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
MT;MATUPA;domingo;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Reta;Não
MG;MANHUACU;domingo;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Rotatória;Sim
MG;CONTAGEM;domingo;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Dupla;"Aclive;Reta";Não
AL;RIO LARGO;domingo;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Múltipla;Reta;Não
BA;FEIRA DE SANTANA;domingo;Anoitecer;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim
SC;NAVEGANTES;domingo;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Dupla;Reta;Não
RS;JAGUARI;domingo;Plena Noite;Afundamento ou ondulação no pavimento;Tombamento;Céu Claro;Simples;Reta;Não
PA;BELTERRA;domingo;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Não
PB;CAMPINA GRANDE;domingo;Plena Noite;Ingestão de álcool pelo condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Sim
PA;ALTAMIRA;domingo;Plena Noite;Condutor Dormindo;Colisão com objeto;Ignorado;Simples;Reta;Sim
MT;NOVA MUTUM;domingo;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Nevoeiro/Neblina;Dupla;Curva;Não
AP;OIAPOQUE;domingo;Plena Noite;Conversão proibida;Colisão transversal;Garoa/Chuvisco;Simples;"Aclive;Reta";Não
MG;ITATIAIUCU;domingo;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Dupla;Reta;Não
RJ;NOVA IGUACU;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão lateral mesmo sentido;Garoa/Chuvisco;Dupla;Reta;Sim
MG;NOVA LIMA;segunda-feira;Plena Noite;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Dupla;"Reta;Declive";Não
MT;SINOP;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Queda de ocupante de veículo;Céu Claro;Simples;Reta;Sim
MG;PARAOPEBA;domingo;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;"Reta;Aclive";Não
BA;MARAU;segunda-feira;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
PR;CAMPO LARGO;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Chuva;Dupla;Curva;Não
RS;NOVO HAMBURGO;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
PR;COLOMBO;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Curva;Não
SC;PAULO LOPES;segunda-feira;Plena Noite;Ingestão de álcool pelo condutor;Saída de leito carroçável;Chuva;Dupla;Reta;Não
PR;SAO JOSE DOS PINHAIS;segunda-feira;Amanhecer;Avarias e/ou desgaste excessivo no pneu;Saída de leito carroçável;Garoa/Chuvisco;Múltipla;"Reta;Declive";Sim
RO;VILHENA;segunda-feira;Pleno dia;Ausência de reação do condutor;Queda de ocupante de veículo;Nublado;Simples;Reta;Não
MS;RIO VERDE DE MATO GROSSO;segunda-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Nublado;Simples;"Reta;Retorno Regulamentado";Sim
RJ;ITAGUAI;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Nublado;Dupla;Reta;Sim
DF;BRASILIA;segunda-feira;Amanhecer;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;Em Obras;Sim
BA;BARREIRAS;segunda-feira;Amanhecer;Velocidade Incompatível;Colisão traseira;Céu Claro;Simples;Reta;Sim
RJ;MAGE;segunda-feira;Amanhecer;Ausência de reação do condutor;Colisão frontal;Céu Claro;Simples;Reta;Sim
RS;SANTO ANTONIO DA PATRULHA;segunda-feira;Amanhecer;Demais falhas mecânicas ou elétricas;Tombamento;Céu Claro;Dupla;Reta;Não
SC;JARAGUA DO SUL;segunda-feira;Plena Noite;Conversão proibida;Colisão frontal;Céu Claro;Simples;Reta;Não
SP;GUARULHOS;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão com objeto;Céu Claro;Múltipla;Reta;Sim
PB;JOAO PESSOA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Chuva;Dupla;Reta;Sim
PR;PARANAGUA;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
ES;GUARAPARI;segunda-feira;Amanhecer;Chuva;Saída de leito carroçável;Chuva;Dupla;"Aclive;Reta";Não
MG;NOVA SERRANA;segunda-feira;Pleno dia;Objeto estático sobre o leito carroçável;Tombamento;Céu Claro;Dupla;Aclive;Sim
PE;PETROLINA;domingo;Plena Noite;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Múltipla;"Reta;Ponte";Sim
BA;ILHEUS;segunda-feira;Pleno dia;Acesso irregular;Colisão transversal;Céu Claro;Simples;Reta;Não
BA;SALVADOR;segunda-feira;Pleno dia;Ausência de reação do condutor;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Sim
PR;PARANAGUA;segunda-feira;Amanhecer;Velocidade Incompatível;Atropelamento de Pedestre;Nublado;Múltipla;"Aclive;Reta";Não
PR;MARINGA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Não
GO;PORANGATU;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Declive;Não
MS;CAMPO GRANDE;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão transversal;Sol;Simples;Reta;Sim
PB;RIO TINTO;segunda-feira;Amanhecer;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Dupla;"Reta;Em Obras";Não
PR;LONDRINA;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não
BA;BARREIRAS;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Céu Claro;Simples;Declive;Não
PR;CAMPINA GRANDE DO SUL;segunda-feira;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Garoa/Chuvisco;Dupla;"Declive;Curva";Não
BA;ALCOBACA;segunda-feira;Pleno dia;Ultrapassagem Indevida;Saída de leito carroçável;Nublado;Simples;Reta;Não
MG;BETIM;segunda-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Nublado;Dupla;Aclive;Não
MG;SANTOS DUMONT;segunda-feira;Plena Noite;Chuva;Colisão lateral sentido oposto;Chuva;Simples;Curva;Sim
SP;GUARULHOS;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Sol;Múltipla;Reta;Sim
RJ;NITEROI;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Ponte;Reta";Sim
SP;SAO PAULO;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não
PR;TEIXEIRA SOARES;segunda-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
GO;ABADIANIA;segunda-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
BA;ITABELA;segunda-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;"Aclive;Curva";Não
RN;NATAL;segunda-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Múltipla;Reta;Sim
ES;SERRA;segunda-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Chuva;Dupla;Reta;Sim
PR;SANTO ANTONIO DA PLATINA;segunda-feira;Pleno dia;Ultrapassagem Indevida;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
TO;ALIANCA DO TOCANTINS;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Céu Claro;Simples;Reta;Não
RO;JI-PARANA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Múltipla;"Reta;Aclive";Sim
ES;GUARAPARI;segunda-feira;Pleno dia;Chuva;Saída de leito carroçável;Chuva;Dupla;"Aclive;Curva";Não
SC;SOMBRIO;segunda-feira;Pleno dia;Conversão proibida;Colisão lateral mesmo sentido;Nublado;Simples;Reta;Sim
RJ;DUQUE DE CAXIAS;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Tombamento;Sol;Múltipla;Reta;Sim
PR;CAMPINA GRANDE DO SUL;segunda-feira;Pleno dia;Velocidade Incompatível;Capotamento;Chuva;Dupla;Curva;Não
RS;GARIBALDI;segunda-feira;Pleno dia;Acesso irregular;Colisão transversal;Nublado;Simples;Reta;Não
PE;FLORES;segunda-feira;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não
SC;PAULO LOPES;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Dupla;Reta;Sim
AP;MACAPA;domingo;Pleno dia;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Interseção de Vias;Sim
RJ;NOVA IGUACU;segunda-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral sentido oposto;Céu Claro;Múltipla;Reta;Sim
PE;RIBEIRAO;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
SP;SAO PAULO;segunda-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Nublado;Múltipla;"Reta;Aclive";Não
PR;CAMBARA;segunda-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;Reta;Não
SP;JUQUITIBA;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Nublado;Dupla;"Reta;Aclive";Não
PR;ARAPONGAS;quarta-feira;Anoitecer;Manobra de mudança de faixa;Colisão transversal;Céu Claro;Simples;"Reta;Interseção de Vias";Sim
BA;PORTO SEGURO;segunda-feira;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Chuva;Simples;Reta;Não
SC;RANCHO QUEIMADO;segunda-feira;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Chuva;Simples;"Declive;Curva";Não
SP;SAO JOSE DOS CAMPOS;domingo;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Céu Claro;Múltipla;Reta;Não
RJ;VOLTA REDONDA;sexta-feira;Anoitecer;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Chuva;Simples;"Reta;Interseção de Vias";Sim
PB;CABEDELO;segunda-feira;Pleno dia;Conversão proibida;Colisão traseira;Nublado;Dupla;Reta;Sim
PR;FAZENDA RIO GRANDE;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim
MS;RIO VERDE DE MATO GROSSO;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim
MG;CONGONHAL;segunda-feira;Pleno dia;Conversão proibida;Colisão transversal;Céu Claro;Simples;Reta;Não
MG;CONTAGEM;segunda-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
SP;GUARULHOS;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Múltipla;"Reta;Em Obras";Sim
RJ;MAGE;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Sol;Dupla;Reta;Sim
MG;SABARA;segunda-feira;Pleno dia;Mal súbito do condutor;Colisão com objeto;Sol;Simples;Reta;Sim
RJ;DUQUE DE CAXIAS;sexta-feira;Plena Noite;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Nublado;Simples;Reta;Sim
MA;CODO;sexta-feira;Pleno dia;Transitar na contramão;Colisão lateral sentido oposto;Ignorado;Simples;Reta;Não
PE;PAULISTA;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão traseira;Céu Claro;Simples;"Reta;Interseção de Vias";Não
PR;PARANAGUA;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Simples;Reta;Sim
MT;LUCAS DO RIO VERDE;segunda-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Dupla;"Interseção de Vias;Reta";Sim
RS;CAXIAS DO SUL;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão frontal;Chuva;Dupla;Curva;Sim
PE;CALCADO;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Tombamento;Ignorado;Simples;Reta;Não
CE;AQUIRAZ;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;"Declive;Reta";Não
RS;BENTO GONCALVES;segunda-feira;Pleno dia;Chuva;Queda de ocupante de veículo;Chuva;Simples;"Aclive;Curva";Sim
RS;BENTO GONCALVES;segunda-feira;Pleno dia;Velocidade Incompatível;Colisão frontal;Chuva;Simples;Curva;Não
GO;VALPARAISO DE GOIAS;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
BA;FEIRA DE SANTANA;segunda-feira;Plena Noite;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Sol;Simples;Viaduto;Sim
RS;DOM PEDRO DE ALCANTARA;segunda-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Garoa/Chuvisco;Dupla;Curva;Sim
PE;AGUAS BELAS;segunda-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
SC;SAO FRANCISCO DO SUL;segunda-feira;Pleno dia;Retorno proibido;Colisão traseira;Nublado;Simples;Reta;Sim
PI;PICOS;segunda-feira;Pleno dia;Manobra de mudança de faixa;Colisão traseira;Sol;Simples;Reta;Sim
SP;GUARULHOS;segunda-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Nublado;Múltipla;"Em Obras;Reta";Não
MG;CONTAGEM;segunda-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Múltipla;"Aclive;Reta";Sim
RS;VACARIA;segunda-feira;Pleno dia;Ingestão de álcool pelo condutor;Saída de leito carroçável;Chuva;Simples;Reta;Não
SC;PALHOCA;segunda-feira;Anoitecer;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Chuva;Dupla;Interseção de Vias;Não
GO;PORANGATU;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão transversal;Céu Claro;Simples;Reta;Não
RJ;NOVA IGUACU;segunda-feira;Plena Noite;Avarias e/ou desgaste excessivo no pneu;Queda de ocupante de veículo;Céu Claro;Múltipla;Reta;Sim
SC;TUBARAO;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Chuva;Dupla;"Viaduto;Interseção de Vias";Sim
ES;LINHARES;segunda-feira;Anoitecer;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MG;MONTES CLAROS;segunda-feira;Anoitecer;Transitar na contramão;Colisão frontal;Céu Claro;Simples;"Declive;Reta";Não
PE;VITORIA DE SANTO ANTAO;segunda-feira;Anoitecer;Mal súbito do condutor;Tombamento;Nublado;Dupla;Reta;Não
RS;IVOTI;segunda-feira;Anoitecer;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Chuva;Dupla;Reta;Não
PE;CARUARU;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
PI;CAMPO MAIOR;segunda-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim
RJ;DUQUE DE CAXIAS;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Sim
GO;VALPARAISO DE GOIAS;segunda-feira;Plena Noite;Manobra de mudança de faixa;Colisão traseira;Céu Claro;Dupla;Reta;Sim
PR;ARAUCARIA;segunda-feira;Anoitecer;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim
SP;UBATUBA;segunda-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Nublado;Simples;Reta;Sim
RJ;VOLTA REDONDA;segunda-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;"Reta;Aclive";Sim
SC;BOCAINA DO SUL;segunda-feira;Anoitecer;Falta de elemento de contenção que evite a saída do leito carroçável;Saída de leito carroçável;Garoa/Chuvisco;Simples;Curva;Não
MT;CUIABA;segunda-feira;Anoitecer;Condutor deixou de manter distância do veículo da frente;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
RS;GRAVATAI;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Chuva;Dupla;Reta;Não
TO;ARAGUAINA;segunda-feira;Plena Noite;Chuva;Saída de leito carroçável;Chuva;Dupla;"Declive;Reta";Sim
MG;MONTES CLAROS;segunda-feira;Plena Noite;Afundamento ou ondulação no pavimento;Saída de leito carroçável;Céu Claro;Simples;"Curva;Em Obras";Não
RJ;NITEROI;segunda-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Sim
RJ;ANGRA DOS REIS;segunda-feira;Plena Noite;Mal súbito do condutor;Engavetamento;Nublado;Simples;Reta;Sim
BA;MUTUIPE;segunda-feira;Anoitecer;Conversão proibida;Colisão frontal;Céu Claro;Simples;Reta;Não
PR;CURITIBA;segunda-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;"Interseção de Vias;Aclive;Reta";Sim
SC;GUARUJA DO SUL;segunda-feira;Anoitecer;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Interseção de Vias;Aclive;Curva";Não
MG;GOVERNADOR VALADARES;segunda-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;Reta;Sim
AC;CAPIXABA;segunda-feira;Plena Noite;Animais na Pista;Atropelamento de Animal;Nublado;Simples;Reta;Não
PA;BRASIL NOVO;segunda-feira;Pleno dia;Manobra de mudança de faixa;Colisão frontal;Céu Claro;Simples;"Reta;Aclive";Não
PB;LAGOA SECA;segunda-feira;Plena Noite;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;Reta;Não
SC;CAPIVARI DE BAIXO;segunda-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Nublado;Dupla;Curva;Não
PI;PICOS;segunda-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
RJ;SEROPEDICA;segunda-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não
RS;SANTA MARIA;segunda-feira;Plena Noite;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Chuva;Dupla;Reta;Sim
PA;SANTA MARIA DO PARA;domingo;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Nublado;Simples;Curva;Não
CE;FORTALEZA;segunda-feira;Anoitecer;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Sim
